Service Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Synthes Plate Recon 3.5 245882,UHHS UHC,40648,UHC Ment Surg Ct,Tech,"1,702.00"
Synthes Plate Recon 3.5 245884,UHHS UHC,40649,UHC Ment Surg Ct,Tech,"1,829.00"
Synthes Plate Recon 3.5 245886,UHHS UHC,40650,UHC Ment Surg Ct,Tech,"1,957.00"
Synthes Plate Recon 3.5 245906,UHHS UHC,40651,UHC Ment Surg Ct,Tech,"1,344.00"
Synthes Plate Recon 3.5 245908,UHHS UHC,40652,UHC Ment Surg Ct,Tech,"1,458.00"
Synthes Plate Recon 3.5 245910,UHHS UHC,40653,UHC Ment Surg Ct,Tech,"1,575.00"
Synthes Plate Recon 3.5 245912,UHHS UHC,40654,UHC Ment Surg Ct,Tech,"1,702.00"
Synthes Plate Recon 3.5 245914,UHHS UHC,40655,UHC Ment Surg Ct,Tech,"1,829.00"
Synthes Plate Recon 3.5 245916,UHHS UHC,40656,UHC Ment Surg Ct,Tech,"1,957.00"
Synthes Plate Recon 449654,UHHS UHC,31587,UHC Ment Surg Ct,Tech,"3,400.00"
Synthes Plate Recon 7H LCP 245071,UHHS UHC,18776,UHC Ment Surg Ct,Tech,"1,710.00"
Synthes Plate Reconst C,UHHS UHC,16394,UHC Ment Surg Ct,Tech,949.00
Synthes Plate Spider Locking 281869,UHHS UHC,62405,UHC Ment Surg Ct,Tech,"2,940.00"
Synthes Plate ST 103mm 22206,UHHS UHC,38682,UHC Ment Surg Ct,Tech,261.00
Synthes Plate ST 119mm 22207,UHHS UHC,38683,UHC Ment Surg Ct,Tech,268.00
Synthes Plate ST 135mm 22208,UHHS UHC,38684,UHC Ment Surg Ct,Tech,294.00
Synthes Plate ST 151mm 22209,UHHS UHC,38685,UHC Ment Surg Ct,Tech,330.00
Synthes Plate ST 55mm 22203,UHHS UHC,38679,UHC Ment Surg Ct,Tech,214.00
Synthes Plate ST 71mm 22204,UHHS UHC,38680,UHC Ment Surg Ct,Tech,230.00
Synthes Plate ST 87mm 22205,UHHS UHC,38681,UHC Ment Surg Ct,Tech,243.00
Synthes Plate std 12/14h 2261x,UHHS UHC,18770,UHC Ment Surg Ct,Tech,877.00
Synthes Plate std 16h 22616,UHHS UHC,18771,UHC Ment Surg Ct,Tech,931.00
Synthes Plate std 18h 22618,UHHS UHC,25749,UHC Ment Surg Ct,Tech,996.00
Synthes Plate std 6/7h 2260x,UHHS UHC,18767,UHC Ment Surg Ct,Tech,666.00
Synthes plate sternal 260060,UHHS UHC,16319,UHC Ment Surg Ct,Tech,"2,195.00"
Synthes plate sternal 260062,UHHS UHC,16320,UHC Ment Surg Ct,Tech,"2,257.00"
Synthes plate sternal 260064,UHHS UHC,16321,UHC Ment Surg Ct,Tech,"2,320.00"
Synthes plate sternal 260066,UHHS UHC,16322,UHC Ment Surg Ct,Tech,"2,382.00"
Synthes plate sternal 260068,UHHS UHC,16323,UHC Ment Surg Ct,Tech,"2,445.00"
Synthes plate sternal 260070,UHHS UHC,16324,UHC Ment Surg Ct,Tech,"2,507.00"
Synthes plate sternal 260072,UHHS UHC,16325,UHC Ment Surg Ct,Tech,"2,571.00"
Synthes plate sternal 260074,UHHS UHC,16327,UHC Ment Surg Ct,Tech,"2,633.00"
Synthes Plate Sternal 30H 460024,UHHS UHC,38218,UHC Ment Surg Ct,Tech,"7,266.00"
Synthes Plate Sternal 6H 460035,UHHS UHC,38221,UHC Ment Surg Ct,Tech,"2,022.00"
Synthes Plate Sternal 8H 460028,UHHS UHC,38220,UHC Ment Surg Ct,Tech,"2,127.00"
Synthes Plate Sternal 8H 460045,UHHS UHC,38222,UHC Ment Surg Ct,Tech,"2,454.00"
Synthes Plate Straight 221306,UHHS UHC,41502,UHC Ment Surg Ct,Tech,629.00
Synthes Plate Straight 221312,UHHS UHC,41503,UHC Ment Surg Ct,Tech,791.00
Synthes Plate T 1.3 421333,UHHS UHC,30186,UHC Ment Surg Ct,Tech,646.00
Synthes Plate T 1.3 4H 421334,UHHS UHC,30187,UHC Ment Surg Ct,Tech,675.00
Synthes Plate T 1.5 246233,UHHS UHC,40663,UHC Ment Surg Ct,Tech,725.00
Synthes Plate T 1.5 246234,UHHS UHC,40664,UHC Ment Surg Ct,Tech,757.00
Synthes Plate T 1.5 3H 446233,UHHS UHC,30192,UHC Ment Surg Ct,Tech,646.00
Synthes Plate T 1.5 4H 446234,UHHS UHC,30193,UHC Ment Surg Ct,Tech,675.00
Synthes Plate T 2.0 247232,UHHS UHC,40669,UHC Ment Surg Ct,Tech,757.00
Synthes Plate T 2.0 247233,UHHS UHC,40670,UHC Ment Surg Ct,Tech,826.00
Synthes Plate T 2.0 247615,UHHS UHC,40680,UHC Ment Surg Ct,Tech,"1,386.00"
Synthes Plate T 2.4 249913,UHHS UHC,40693,UHC Ment Surg Ct,Tech,802.00
Synthes Plate T 2.4 249914,UHHS UHC,40694,UHC Ment Surg Ct,Tech,852.00
Synthes Plate T 2.4 249919,UHHS UHC,40697,UHC Ment Surg Ct,Tech,805.00
Synthes Plate T 2.7 249685,UHHS UHC,40690,UHC Ment Surg Ct,Tech,"2,307.00"
Synthes Plate T 221333,UHHS UHC,41505,UHC Ment Surg Ct,Tech,725.00
Synthes Plate T 221334,UHHS UHC,41506,UHC Ment Surg Ct,Tech,757.00
Synthes Plate T 24241,UHHS UHC,41508,UHC Ment Surg Ct,Tech,198.00
Synthes Plate T 2H 449913,UHHS UHC,30213,UHC Ment Surg Ct,Tech,757.00
Synthes Plate T 2H TI 447232,UHHS UHC,30204,UHC Ment Surg Ct,Tech,675.00
Synthes Plate T 3H 449914,UHHS UHC,30214,UHC Ment Surg Ct,Tech,807.00
Synthes Plate T 3H TI 447233,UHHS UHC,30205,UHC Ment Surg Ct,Tech,736.00
Synthes Plate T 8H,UHHS UHC,16412,UHC Ment Surg Ct,Tech,"1,275.00"
Synthes Plate Talus 2.4mm 02100023S,UHHS UHC,32688,UHC Ment Surg Ct,Tech,"2,184.00"
Synthes Plate tiba M D 3.5 2235xx,UHHS UHC,28833,UHC Ment Surg Ct,Tech,"2,509.00"
Synthes Plate Tibia 02124200/1,UHHS UHC,37644,UHC Ment Surg Ct,Tech,"4,419.00"
Synthes Plate Tibia 02124204/5,UHHS UHC,37645,UHC Ment Surg Ct,Tech,"4,473.00"
Synthes Plate Tibia 02124208/9,UHHS UHC,37646,UHC Ment Surg Ct,Tech,"4,525.00"
Synthes Plate Tibia 02124224/5,UHHS UHC,37647,UHC Ment Surg Ct,Tech,"4,850.00"
Synthes Plate Tibia 02124226/7,UHHS UHC,37648,UHC Ment Surg Ct,Tech,"5,025.00"
Synthes Plate Tibia 16 L/R 4.5 24048/49S,UHHS UHC,56779,UHC Ment Surg Ct,Tech,"5,016.00"
Synthes Plate Tibia 18 L/R 4.5 240052/53S,UHHS UHC,56780,UHC Ment Surg Ct,Tech,"5,109.00"
Synthes Plate Tibia 3.5 02112514/5,UHHS UHC,37543,UHC Ment Surg Ct,Tech,"4,357.00"
Synthes Plate Tibia 3.5 10H 23870x,UHHS UHC,37312,UHC Ment Surg Ct,Tech,"4,448.00"
Synthes Plate Tibia 3.5 12H 23870x,UHHS UHC,37313,UHC Ment Surg Ct,Tech,"4,497.00"
Synthes Plate Tibia 3.5 239.954/955,UHHS UHC,32115,UHC Ment Surg Ct,Tech,"4,406.00"
Synthes Plate Tibia 3.5 239.958/959,UHHS UHC,32116,UHC Ment Surg Ct,Tech,"4,144.00"
Synthes Plate Tibia 3.5 4H 23870x,UHHS UHC,37309,UHC Ment Surg Ct,Tech,"4,311.00"
Synthes Plate Tibia 3.5 6H 23870x,UHHS UHC,37310,UHC Ment Surg Ct,Tech,"4,357.00"
Synthes Plate Tibia 3.5 8H 23870x,UHHS UHC,37311,UHC Ment Surg Ct,Tech,"4,401.00"
Synthes Plate Tibia 3.5 Rt 02112510,UHHS UHC,56002,UHC Ment Surg Ct,Tech,"4,440.00"
Synthes Plate Tibia 3.5 Rt 02112522,UHHS UHC,56003,UHC Ment Surg Ct,Tech,"4,580.00"
Synthes Plate Tibia 4.5 239.984/985,UHHS UHC,32117,UHC Ment Surg Ct,Tech,"4,056.00"
Synthes Plate Tibia 4.5 239.986/987,UHHS UHC,32118,UHC Ment Surg Ct,Tech,"4,106.00"
Synthes Plate Tibia 4.5 239.988/89,UHHS UHC,32119,UHC Ment Surg Ct,Tech,"4,153.00"
Synthes Plate Tibia 4.5 239.990/991,UHHS UHC,32120,UHC Ment Surg Ct,Tech,"4,198.00"
Synthes Plate Tibia 4.5 240038,UHHS UHC,32695,UHC Ment Surg Ct,Tech,"4,062.00"
Synthes Plate Tibia LCP 4.5 240036,UHHS UHC,32693,UHC Ment Surg Ct,Tech,"4,013.00"
Synthes Plate Tibia Prx 3.5 10H L/R,UHHS UHC,35254,UHC Ment Surg Ct,Tech,"3,589.00"
Synthes Plate Tibia Prx 3.5 12H L/R,UHHS UHC,35255,UHC Ment Surg Ct,Tech,"3,724.00"
Synthes Plate Tibia Prx 3.5 14H L/R,UHHS UHC,35256,UHC Ment Surg Ct,Tech,"3,805.00"
Synthes Plate Tibia Prx 3.5 16H L/R,UHHS UHC,35257,UHC Ment Surg Ct,Tech,"3,884.00"
Synthes Plate Tibia Prx 3.5 4H L/R,UHHS UHC,35251,UHC Ment Surg Ct,Tech,"3,443.00"
Synthes Plate Tibia Prx 3.5 6H L/R,UHHS UHC,35252,UHC Ment Surg Ct,Tech,"3,458.00"
Synthes Plate Tibia Prx 3.5 8H L/R,UHHS UHC,35253,UHC Ment Surg Ct,Tech,"3,570.00"
Synthes Plate Tibia Prx 4.5 10H L/R,UHHS UHC,35248,UHC Ment Surg Ct,Tech,"3,563.00"
Synthes Plate Tibia Prx 4.5 12H L/R,UHHS UHC,35249,UHC Ment Surg Ct,Tech,"3,705.00"
Synthes Plate Tibia Prx 4.5 14H L/R,UHHS UHC,35250,UHC Ment Surg Ct,Tech,"3,785.00"
Synthes Plate Tibia Prx 4.5 2H L/R,UHHS UHC,35244,UHC Ment Surg Ct,Tech,"3,418.00"
Synthes Plate Tibia Prx 4.5 4H L/R,UHHS UHC,35245,UHC Ment Surg Ct,Tech,"3,427.00"
Synthes Plate Tibia Prx 4.5 6H L/R,UHHS UHC,35246,UHC Ment Surg Ct,Tech,"3,435.00"
Synthes Plate Tibia Prx 4.5 8H L/R,UHHS UHC,35247,UHC Ment Surg Ct,Tech,"3,553.00"
Synthes Plate Tibial M-D,UHHS UHC,16418,UHC Ment Surg Ct,Tech,"2,815.00"
Synthes Plate Tibial Proximal 3.5 4H,UHHS UHC,16419,UHC Ment Surg Ct,Tech,"3,483.00"
Synthes Plate TSLP 489440/461,UHHS UHC,37534,UHC Ment Surg Ct,Tech,"5,370.00"
Synthes Plate TSLP 489463,UHHS UHC,37535,UHC Ment Surg Ct,Tech,"5,538.00"
Synthes Plate TSLP 489466,UHHS UHC,37536,UHC Ment Surg Ct,Tech,"5,766.00"
Synthes Plate TSLP 489470/480,UHHS UHC,37537,UHC Ment Surg Ct,Tech,"6,048.00"
Synthes Plate TSLP 489483/490,UHHS UHC,37538,UHC Ment Surg Ct,Tech,"6,273.00"
Synthes Plate TSLP 489493,UHHS UHC,37539,UHC Ment Surg Ct,Tech,"6,528.00"
Synthes Plate TSLP 489497,UHHS UHC,37540,UHC Ment Surg Ct,Tech,"6,579.00"
Synthes Plate TSLP 489500/510,UHHS UHC,37541,UHC Ment Surg Ct,Tech,"6,891.00"
Synthes Plate TSLP 489512,UHHS UHC,37542,UHC Ment Surg Ct,Tech,"7,017.00"
Synthes Plate Tubular 324.371,UHHS UHC,32121,UHC Ment Surg Ct,Tech,544.00
Synthes Plate Tubular/Semitubular,UHHS UHC,16209,UHC Ment Surg Ct,Tech,217.00
Synthes Plate Volar 2.4 l/r 0211033x,UHHS UHC,39582,UHC Ment Surg Ct,Tech,"2,682.00"
Synthes Plate Wrist 02110151,UHHS UHC,40793,UHC Ment Surg Ct,Tech,"5,199.00"
Synthes Plate Wrist 2.7 44253,UHHS UHC,31060,UHC Ment Surg Ct,Tech,"2,789.00"
Synthes Plate Wrist 4425x,UHHS UHC,31585,UHC Ment Surg Ct,Tech,"2,992.00"
Synthes Plate Y 1.3 3H 421335,UHHS UHC,30188,UHC Ment Surg Ct,Tech,646.00
Synthes Plate Y 1.5 246612,UHHS UHC,40667,UHC Ment Surg Ct,Tech,725.00
Synthes Plate Y 1.5 3H 446612,UHHS UHC,30195,UHC Ment Surg Ct,Tech,646.00
Synthes Plate Y 2.0 247612,UHHS UHC,40679,UHC Ment Surg Ct,Tech,826.00
Synthes Plate Y 221335,UHHS UHC,41507,UHC Ment Surg Ct,Tech,725.00
Synthes Plate Y 249915,UHHS UHC,40695,UHC Ment Surg Ct,Tech,876.00
Synthes Plate Y 3H 449915,UHHS UHC,30219,UHC Ment Surg Ct,Tech,781.00
Synthes Plate Y 3H TIU 447612,UHHS UHC,30206,UHC Ment Surg Ct,Tech,736.00
"Synthes Plate, Lcp B",UHHS UHC,27050,UHC Ment Surg Ct,Tech,"1,949.00"
Synthes Post 390011/2,UHHS UHC,41404,UHC Ment Surg Ct,Tech,425.00
Synthes Reamer Head 35225xS,UHHS UHC,37604,UHC Ment Surg Ct,Tech,"1,052.00"
Synthes Reaming Rod 2.5x650 351709S,UHHS UHC,58931,UHC Ment Surg Ct,Tech,390.00
Synthes Reaming Rod 35176S,UHHS UHC,18760,UHC Ment Surg Ct,Tech,529.00
Synthes RIA Locking 352260S,UHHS UHC,37607,UHC Ment Surg Ct,Tech,211.00
Synthes Rod 950 35176,UHHS UHC,18756,UHC Ment Surg Ct,Tech,337.00
Synthes Rod ball tip 351706S,UHHS UHC,18755,UHC Ment Surg Ct,Tech,354.00
Synthes Rod Carbon Fiber 39560/63,UHHS UHC,34643,UHC Ment Surg Ct,Tech,128.00
Synthes Rod Carbon Fiber 39564/67,UHHS UHC,34644,UHC Ment Surg Ct,Tech,176.00
Synthes Rod Precountoured 096360xx,UHHS UHC,38980,UHC Ment Surg Ct,Tech,"1,200.00"
Synthes Rod Precountoured 096361xx,UHHS UHC,38981,UHC Ment Surg Ct,Tech,"1,200.00"
Synthes screw 022261XX,UHHS UHC,17617,UHC Ment Surg Ct,Tech,"1,029.00"
Synthes Screw 1.0 2005xx,UHHS UHC,40617,UHC Ment Surg Ct,Tech,232.00
Synthes Screw 1.3 2006xx,UHHS UHC,40618,UHC Ment Surg Ct,Tech,243.00
Synthes Screw 1.5 0221401x,UHHS UHC,41671,UHC Ment Surg Ct,Tech,343.00
Synthes Screw 1.5 022141xx,UHHS UHC,41670,UHC Ment Surg Ct,Tech,139.00
Synthes Screw 1.5 2008xx,UHHS UHC,40619,UHC Ment Surg Ct,Tech,106.00
Synthes Screw 1.5 4008xx,UHHS UHC,30674,UHC Ment Surg Ct,Tech,99.00
Synthes Screw 14.0 280495,UHHS UHC,39531,UHC Ment Surg Ct,Tech,"1,123.00"
Synthes Screw 2.0 045034xx01,UHHS UHC,41479,UHC Ment Surg Ct,Tech,225.00
Synthes Screw 2.0 0503.6xx.01,UHHS UHC,34740,UHC Ment Surg Ct,Tech,382.00
Synthes Screw 2.0 2013xx97,UHHS UHC,36676,UHC Ment Surg Ct,Tech,112.00
Synthes Screw 2.0 201876/900,UHHS UHC,40334,UHC Ment Surg Ct,Tech,364.00
Synthes Screw 2.0 2018xx,UHHS UHC,40558,UHC Ment Surg Ct,Tech,364.00
Synthes Screw 2.4 022101xx,UHHS UHC,38588,UHC Ment Surg Ct,Tech,408.00
Synthes Screw 2.4 0503.6xx.01,UHHS UHC,34741,UHC Ment Surg Ct,Tech,468.00
Synthes Screw 2.4 20163x,UHHS UHC,37579,UHC Ment Surg Ct,Tech,149.00
Synthes Screw 2.4 20164x,UHHS UHC,37580,UHC Ment Surg Ct,Tech,149.00
Synthes Screw 2.4 20165x,UHHS UHC,37581,UHC Ment Surg Ct,Tech,149.00
Synthes Screw 2.4 20166x,UHHS UHC,37582,UHC Ment Surg Ct,Tech,149.00
Synthes Screw 2.4 201700,UHHS UHC,37583,UHC Ment Surg Ct,Tech,187.00
Synthes Screw 2.4 212.8xx,UHHS UHC,18754,UHC Ment Surg Ct,Tech,354.00
Synthes Screw 2.4 Lock 412.8xx,UHHS UHC,31149,UHC Ment Surg Ct,Tech,325.00
Synthes Screw 2.4mmx13mm 212813,UHHS UHC,36680,UHC Ment Surg Ct,Tech,354.00
Synthes Screw 2.7 05034xx.01,UHHS UHC,34739,UHC Ment Surg Ct,Tech,319.00
Synthes Screw 2.7 2029xx,UHHS UHC,40621,UHC Ment Surg Ct,Tech,119.00
Synthes Screw 2.7 Metaphyseal 021185xx,UHHS UHC,40890,UHC Ment Surg Ct,Tech,147.00
Synthes Screw 2.9 0503.6xx.01,UHHS UHC,34742,UHC Ment Surg Ct,Tech,696.00
Synthes screw 20221X,UHHS UHC,17467,UHC Ment Surg Ct,Tech,377.00
Synthes screw 20222X,UHHS UHC,17470,UHC Ment Surg Ct,Tech,367.00
Synthes Screw 20223X,UHHS UHC,17471,UHC Ment Surg Ct,Tech,367.00
Synthes screw 20224X,UHHS UHC,17472,UHC Ment Surg Ct,Tech,367.00
Synthes screw 20225X,UHHS UHC,17473,UHC Ment Surg Ct,Tech,336.00
Synthes screw 20226X,UHHS UHC,17474,UHC Ment Surg Ct,Tech,336.00
Synthes Screw 208401-420,UHHS UHC,18316,UHC Ment Surg Ct,Tech,829.00
Synthes Screw 212201-227,UHHS UHC,31568,UHC Ment Surg Ct,Tech,594.00
Synthes screw 22258X,UHHS UHC,17476,UHC Ment Surg Ct,Tech,446.00
Synthes screw 22259X,UHHS UHC,17477,UHC Ment Surg Ct,Tech,410.00
Synthes screw 22267X,UHHS UHC,17482,UHC Ment Surg Ct,Tech,284.00
Synthes screw 22268X,UHHS UHC,17483,UHC Ment Surg Ct,Tech,284.00
Synthes Screw 3 022260xx,UHHS UHC,17553,UHC Ment Surg Ct,Tech,"1,060.00"
Synthes Screw 3.0 202608/740,UHHS UHC,40620,UHC Ment Surg Ct,Tech,635.00
Synthes Screw 3.0 Lock 497.69x,UHHS UHC,31150,UHC Ment Surg Ct,Tech,468.00
Synthes Screw 3.2 022000xx,UHHS UHC,41650,UHC Ment Surg Ct,Tech,80.00
Synthes Screw 3.5 2050xx,UHHS UHC,40626,UHC Ment Surg Ct,Tech,603.00
Synthes Screw 3.5 205210/50,UHHS UHC,40627,UHC Ment Surg Ct,Tech,603.00
Synthes Screw 3.5 213.0xx,UHHS UHC,32114,UHC Ment Surg Ct,Tech,355.00
Synthes Screw 3.5 4121xx,UHHS UHC,35923,UHC Ment Surg Ct,Tech,387.00
Synthes Screw 3.5 4121xxS,UHHS UHC,35924,UHC Ment Surg Ct,Tech,529.00
Synthes Screw 3.5 Lock 212.101-124,UHHS UHC,31147,UHC Ment Surg Ct,Tech,387.00
Synthes Screw 3.5 Lock 212.125-131,UHHS UHC,31148,UHC Ment Surg Ct,Tech,387.00
Synthes Screw 4 2060xx,UHHS UHC,38211,UHC Ment Surg Ct,Tech,58.00
Synthes Screw 4 2070xx,UHHS UHC,38212,UHC Ment Surg Ct,Tech,55.00
Synthes Screw 4 207100,UHHS UHC,38213,UHC Ment Surg Ct,Tech,61.00
Synthes Screw 4 4060xx,UHHS UHC,38214,UHC Ment Surg Ct,Tech,58.00
Synthes Screw 4 4070xx,UHHS UHC,38215,UHC Ment Surg Ct,Tech,55.00
Synthes Screw 4.0 02.204.0xx,UHHS UHC,32165,UHC Ment Surg Ct,Tech,410.00
Synthes Screw 4.0 206475/95,UHHS UHC,40622,UHC Ment Surg Ct,Tech,155.00
Synthes Screw 4.5 214222/240,UHHS UHC,40624,UHC Ment Surg Ct,Tech,56.00
Synthes Screw 4.5 214242/250,UHHS UHC,40625,UHC Ment Surg Ct,Tech,60.00
Synthes Screw 4.5 2148xx,UHHS UHC,41591,UHC Ment Surg Ct,Tech,117.00
Synthes Screw 4.5 2149xx,UHHS UHC,41592,UHC Ment Surg Ct,Tech,117.00
Synthes Screw 4.5 ST 4148xx,UHHS UHC,55269,UHC Ment Surg Ct,Tech,117.00
Synthes Screw 4.5 ST 4149xx,UHHS UHC,55270,UHC Ment Surg Ct,Tech,117.00
Synthes Screw 4000xx,UHHS UHC,31569,UHC Ment Surg Ct,Tech,196.00
Synthes Screw 4010xx,UHHS UHC,31570,UHC Ment Surg Ct,Tech,212.00
Synthes Screw 4012xx,UHHS UHC,31571,UHC Ment Surg Ct,Tech,"1,521.00"
Synthes Screw 4122xx,UHHS UHC,31572,UHC Ment Surg Ct,Tech,417.00
Synthes Screw 4x26 460026,UHHS UHC,38219,UHC Ment Surg Ct,Tech,"1,824.00"
Synthes screw 5 022050XX,UHHS UHC,17543,UHC Ment Surg Ct,Tech,611.00
Synthes screw 5 022051XX,UHHS UHC,17544,UHC Ment Surg Ct,Tech,627.00
Synthes screw 5 022052XX,UHHS UHC,17545,UHC Ment Surg Ct,Tech,539.00
Synthes Screw 5.0 0223101x,UHHS UHC,37571,UHC Ment Surg Ct,Tech,766.00
Synthes Screw 6.5 216085/110,UHHS UHC,36733,UHC Ment Surg Ct,Tech,114.00
Synthes Screw 6.5 2160xx,UHHS UHC,36732,UHC Ment Surg Ct,Tech,106.00
Synthes Screw 6.5 216115/120,UHHS UHC,36734,UHC Ment Surg Ct,Tech,145.00
Synthes Screw 6.5 217085/90/95,UHHS UHC,36736,UHC Ment Surg Ct,Tech,114.00
Synthes Screw 6.5 2170xx,UHHS UHC,36735,UHC Ment Surg Ct,Tech,106.00
Synthes Screw 6.5 2171xx,UHHS UHC,36737,UHC Ment Surg Ct,Tech,114.00
Synthes Screw 6.5 2180xx,UHHS UHC,36739,UHC Ment Surg Ct,Tech,106.00
Synthes Screw 7 2080xx,UHHS UHC,36728,UHC Ment Surg Ct,Tech,823.00
Synthes Screw 7 2081xx,UHHS UHC,36729,UHC Ment Surg Ct,Tech,823.00
Synthes Screw 7 2090xx,UHHS UHC,36730,UHC Ment Surg Ct,Tech,823.00
Synthes Screw 7 2091xx,UHHS UHC,36731,UHC Ment Surg Ct,Tech,823.00
Synthes screw 7.3 022070XX,UHHS UHC,17546,UHC Ment Surg Ct,Tech,905.00
Synthes screw 7.3 022071XX,UHHS UHC,17547,UHC Ment Surg Ct,Tech,926.00
Synthes screw 7.3 022072XX,UHHS UHC,17548,UHC Ment Surg Ct,Tech,807.00
Synthes screw 7.3 022074XX,UHHS UHC,17551,UHC Ment Surg Ct,Tech,741.00
Synthes Screw 7.3 2088xx,UHHS UHC,36740,UHC Ment Surg Ct,Tech,802.00
Synthes Screw 7.3 2089xx,UHHS UHC,36741,UHC Ment Surg Ct,Tech,802.00
Synthes Screw 7.3 209620/730,UHHS UHC,40623,UHC Ment Surg Ct,Tech,826.00
Synthes Screw 7.3 2098xx,UHHS UHC,36742,UHC Ment Surg Ct,Tech,802.00
Synthes Screw 7.3 2099xx,UHHS UHC,36743,UHC Ment Surg Ct,Tech,802.00
Synthes Screw 7.3 2226xx,UHHS UHC,36744,UHC Ment Surg Ct,Tech,579.00
Synthes Screw Can FT 4.5 2147xx,UHHS UHC,28904,UHC Ment Surg Ct,Tech,570.00
Synthes Screw Can LT 4 2077xx,UHHS UHC,28902,UHC Ment Surg Ct,Tech,611.00
Synthes Screw Can PT 4 2145xx,UHHS UHC,28903,UHC Ment Surg Ct,Tech,622.00
Synthes Screw Can PT 4.5 204552,UHHS UHC,28900,UHC Ment Surg Ct,Tech,545.00
Synthes Screw Can ST 4 2076xx,UHHS UHC,28901,UHC Ment Surg Ct,Tech,611.00
Synthes screw canc 217 85/110,UHHS UHC,17663,UHC Ment Surg Ct,Tech,105.00
Synthes Screw Canc 3.5 046140xx,UHHS UHC,40021,UHC Ment Surg Ct,Tech,"1,800.00"
Synthes Screw Canc 4.0 046141xx,UHHS UHC,40022,UHC Ment Surg Ct,Tech,"1,800.00"
Synthes Screw Cann 16/Thr 4084xx,UHHS UHC,31574,UHC Ment Surg Ct,Tech,805.00
Synthes Screw Cann 32/Thr 4084xx,UHHS UHC,31575,UHC Ment Surg Ct,Tech,805.00
Synthes screw cann 4.5 214.520-72,UHHS UHC,14681,UHC Ment Surg Ct,Tech,543.00
Synthes screw cann 5.0 222.535-49,UHHS UHC,14686,UHC Ment Surg Ct,Tech,487.00
Synthes screw cann 5.0 222.554-65,UHHS UHC,14683,UHC Ment Surg Ct,Tech,429.00
Synthes screw cann 7.3 222.567-76,UHHS UHC,14684,UHC Ment Surg Ct,Tech,722.00
Synthes Screw Cann 7.3 408.830-950,UHHS UHC,20545,UHC Ment Surg Ct,Tech,802.00
Synthes Screw Cann 7.3 409.845-950,UHHS UHC,32164,UHC Ment Surg Ct,Tech,736.00
Synthes Screw Cann FT 6.5 2084xx,UHHS UHC,61792,UHC Ment Surg Ct,Tech,828.00
Synthes Screw Comp 2.4 022262xx,UHHS UHC,31693,UHC Ment Surg Ct,Tech,"1,029.00"
Synthes Screw Comp 2.4 022263xx,UHHS UHC,31694,UHC Ment Surg Ct,Tech,944.00
Synthes Screw Comp 4.5 02226xxx,UHHS UHC,31695,UHC Ment Surg Ct,Tech,954.00
Synthes Screw Compression 36mm 280990,UHHS UHC,15658,UHC Ment Surg Ct,Tech,127.00
Synthes Screw Conic 2123xx,UHHS UHC,37576,UHC Ment Surg Ct,Tech,423.00
Synthes Screw Conic 2124xx,UHHS UHC,37577,UHC Ment Surg Ct,Tech,423.00
Synthes Screw Conical,UHHS UHC,21534,UHC Ment Surg Ct,Tech,321.00
Synthes Screw Conical 3.7 02240240,UHHS UHC,34398,UHC Ment Surg Ct,Tech,519.00
Synthes Screw Connective 02120606,UHHS UHC,56750,UHC Ment Surg Ct,Tech,499.00
Synthes Screw cort 1.3 40062x,UHHS UHC,20454,UHC Ment Surg Ct,Tech,210.00
Synthes Screw Cort 1.3mm 4006xx,UHHS UHC,30182,UHC Ment Surg Ct,Tech,217.00
Synthes Screw Cort 1.5 400.7xx,UHHS UHC,20016,UHC Ment Surg Ct,Tech,148.00
Synthes Screw Cort 1.5 400.8xx.96,UHHS UHC,32166,UHC Ment Surg Ct,Tech,138.00
Synthes Screw Cort 1.5 4008xx96,UHHS UHC,30189,UHC Ment Surg Ct,Tech,99.00
Synthes Screw Cort 1mm 4005xx,UHHS UHC,30181,UHC Ment Surg Ct,Tech,209.00
Synthes Screw Cort 2 TI 4018xx,UHHS UHC,30199,UHC Ment Surg Ct,Tech,99.00
Synthes Screw Cort 2 TI ST 4018xx96,UHHS UHC,30197,UHC Ment Surg Ct,Tech,110.00
Synthes Screw Cort 2.0 20135897,UHHS UHC,54135,UHC Ment Surg Ct,Tech,113.00
Synthes Screw Cort 2.0 2013xx97,UHHS UHC,39528,UHC Ment Surg Ct,Tech,113.00
Synthes Screw Cort 2.0 4010xx,UHHS UHC,34532,UHC Ment Surg Ct,Tech,91.00
Synthes Screw Cort 2.0 4011xx,UHHS UHC,34533,UHC Ment Surg Ct,Tech,162.00
Synthes Screw Cort 2.4 201756/90,UHHS UHC,14619,UHC Ment Surg Ct,Tech,175.00
Synthes Screw Cort 2.4 4015xx96,UHHS UHC,14941,UHC Ment Surg Ct,Tech,253.00
Synthes Screw Cort 2.4 4017xx,UHHS UHC,34534,UHC Ment Surg Ct,Tech,174.00
Synthes screw cort 2.7 202.006/55,UHHS UHC,14620,UHC Ment Surg Ct,Tech,97.00
Synthes Screw Cort 2.7 2028xx,UHHS UHC,37307,UHC Ment Surg Ct,Tech,119.00
Synthes screw cort 201.006-24,UHHS UHC,14618,UHC Ment Surg Ct,Tech,84.00
Synthes screw cort 202810-55,UHHS UHC,14621,UHC Ment Surg Ct,Tech,108.00
