Wayne HealthCare,,,,
835 Sweitzer Street,,,,
"Greenville, OH 45331",,,,
,,,,
Effective 01/01/2022,,,,
,,,,
2022 STANDARD CHARGES,,,,
,,,,
"CHARGE
NUMBER",DESCRIPTION,"CPT/HCPC/
DRG CODE",2022,DEPARTMENT
4440646,HEP C AB w/QUANT+PCR+GENOTYPE REFLEX,86803,$169.00 ,LABORATORY
4406807,HEP C AB W/REFLEX HCV QUAL NAA,86803,$59.00 ,LABORATORY
4486803,HEP C AB W/REFLEX HCV QUANT PCR,86803,$59.00 ,LABORATORY
4430563,HEP C GENOTYPING,87902,"$1,082.00 ",LABORATORY
4406754,HEP C QUAL RNA Employee Health,87521,$144.00 ,LABORATORY
4430646,HEP C RNA/NAA QUAL,87521,$144.00 ,LABORATORY
4486793,HEP C RNA/NAA QUAL RFX QUANT,87521,$213.00 ,LABORATORY
4430676,HEP C RNA/NAA QUAL w/Reflex Genotype,87521,$144.00 ,LABORATORY
4407008,HEP C RNA/PCR QUANT,87522,$180.00 ,LABORATORY
4407009,HEP C RNA/PCR QUANT RFX GENO,87522,$180.00 ,LABORATORY
4431168,HEP D (DELTA) AB,86692,$516.00 ,LABORATORY
4431167,HEP E AB IGG,86790,$329.00 ,LABORATORY
4431169,HEP E AB IGM,86790,$329.00 ,LABORATORY
4430302,HEPARIN ANTI Xa,85520,$555.00 ,LABORATORY
4430724,HEPARIN INDUCED PLT AB - send out,86022,$675.00 ,LABORATORY
4450002,HEPATIC FUNCTION PANEL,80076,$34.00 ,LABORATORY
4406809,HEPATITIS PANEL 8,86803,$59.00 ,LABORATORY
4431905,HEROIN CONFIRMATION UR,80356,$177.00 ,LABORATORY
4431112,"HERPES & VZV CULT, RAPID,LESION",87254,$232.00 ,LABORATORY
4440012,HERPES AMPLIFIED PROBE EXP,8752991,$147.00 ,LABORATORY
4431883,HERPES I/II PCR CSF OR VESICLE (CCL),87529,$147.00 ,LABORATORY
4487529,HERPES PCR BLOOD (INFANTS ONLY),87529,$417.00 ,LABORATORY
4431216,HERPES SIMPLEX CULTURE & TYPING,87255,$162.00 ,LABORATORY
4431179,HERPES SIMPLEX I SPECIFIC IGG,86695,$63.00 ,LABORATORY
4430479,HERPES SIMPLEX II SPECIFIC IGG,86696,$93.00 ,LABORATORY
4431581,HERPES SIMPLEX VIRUS AMP,87529,$147.00 ,LABORATORY
4430920,HICKORY WHITE ALLERGEN,8600391,$51.00 ,LABORATORY
4431269,HISTAMINE PLASMA,83088,$684.00 ,LABORATORY
4431266,HISTOPLASMA ABS COMP FIX,86698,$57.00 ,LABORATORY
4431267,HISTOPLASMA ABS COMP FIX,8669891,$57.00 ,LABORATORY
4431268,HISTOPLASMA ABS COMP FIX,8669891,$57.00 ,LABORATORY
4431875,HISTOPLASMA ABS QUANT,86698,$57.00 ,LABORATORY
4431880,HISTOPLASMA AG SERUM,87385,$171.00 ,LABORATORY
4431090,HISTOPLASMA AG URINE,87385,$56.00 ,LABORATORY
4431125,HIV DNA PCR/HIV AB,86701,$468.00 ,LABORATORY
4406753,HIV EMPLOYEE HEALTH,G0433,$123.00 ,LABORATORY
4430648,HIV GENOTYPE,87901,$954.00 ,LABORATORY
4430789,HIV RNA PCR QUANT,87536,$415.00 ,LABORATORY
4406752,HIV SCREEN WITH CONFIRMATION,G0433,$76.00 ,LABORATORY
4406802,HIV SOURCE CHG,87389,$92.00 ,LABORATORY
4431233,HIV TYPE 2 ABS,86702,$313.00 ,LABORATORY
4430778,HIV WESTERN BLOT CHARGE ONLY,86689,$564.00 ,LABORATORY
4430425,HLA B27,81374,$363.00 ,LABORATORY
4408949,HOMOCYSTEINE,83090,$76.00 ,LABORATORY
4431388,HONEYBEE ALLERGEN,8600391,$26.00 ,LABORATORY
4430454,HTLV I&II ABS + CONFIRM,86790,$62.00 ,LABORATORY
4431328,HYDROXYPREGNENOLONE-17,84143,$87.00 ,LABORATORY
4430474,HYDROXYPROGESTERONE (17-OHP),83498,$115.00 ,LABORATORY
4431261,HYDROXYPROLINE PLASMA,82131,$897.00 ,LABORATORY
4401675,HYPERSENSITIVITY PNEUMONITIS PROFILE,86331,$46.00 ,LABORATORY
4430635,HYPOGLYCEMIC PANEL,82542,$728.00 ,LABORATORY
4431297,IBD DIAGNOSTIC part 1 (PROMETHEUS),83520,$72.00 ,LABORATORY
4431298,IBD DIAGNOSTIC-1 (PROMETHEUS),8352091,$72.00 ,LABORATORY
4431299,IBD DIAGNOSTIC-1 (PROMETHEUS),88346,"$1,191.00 ",LABORATORY
4431500,IBD DIAGNOSTIC-1 (PROMETHEUS),82397,$69.00 ,LABORATORY
4431501,IBD DIAGNOSTIC-1 (PROMETHEUS),8239791,$69.00 ,LABORATORY
4431502,IBD DIAGNOSTIC-1 (PROMETHEUS),86140,$22.00 ,LABORATORY
4431505,IBD DIAGNOSTIC-2 (PROMETHEUS),81479,$94.00 ,LABORATORY
4431506,IBD DIAGNOSTIC-2 (PROMETHEUS),83896,$25.00 ,LABORATORY
4431507,IBD DIAGNOSTIC-2 (PROMETHEUS),8389691,$25.00 ,LABORATORY
4431508,IBD DIAGNOSTIC-2 (PROMETHEUS),83912,$25.00 ,LABORATORY
4431509,IBD DIAGNOSTIC-2 (PROMETHEUS),83907,$61.00 ,LABORATORY
4431419,IBS DIAGNOSTIC (PROMETHEUS),83520,$85.00 ,LABORATORY
4431421,IBS DIAGNOSTIC (PROMETHEUS),8352091,$81.00 ,LABORATORY
4431422,IBS DIAGNOSTIC (PROMETHEUS),82397,$85.00 ,LABORATORY
4431423,IBS DIAGNOSTIC (PROMETHEUS),8239791,$85.00 ,LABORATORY
4431171,IBUPROFEN LEVEL,80329,$288.00 ,LABORATORY
4430719,IG A QUANT,82784,$38.00 ,LABORATORY
4430871,IG D QUANT,82784,$38.00 ,LABORATORY
4401787,IG E QUANTITATIVE,82785,$70.00 ,LABORATORY
4430391,IG G QUANTITATIVE,82784,$38.00 ,LABORATORY
4406350,IG G SUBCLASSES 1-4,82784,$38.00 ,LABORATORY
4406372,"IG G,M,A QUANTITATIVE",82784,$38.00 ,LABORATORY
4406349,"IG G,M,A,E QUANTITATIVE",82784,$38.00 ,LABORATORY
4430381,IG M QUANTITATIVE,82784,$113.00 ,LABORATORY
4431111,IMIPRAMINE SERUM,80335,$188.00 ,LABORATORY
4431418,IMMUNE CELL FUNCTION (IMMUKNOW),86353,"$1,058.00 ",LABORATORY
4431281,IMMUNE COMPLEXES PROFILE,86332,$133.00 ,LABORATORY
4431282,IMMUNE COMPLEXEX PROFILE,8633291,$133.00 ,LABORATORY
4486013,IMMUNOCAP PCN G,86003,$131.00 ,LABORATORY
4486014,IMMUNOCAP PCN-V,86003,$131.00 ,LABORATORY
4432003,IMMUNODEFIENCY PANEL,86355,$135.00 ,LABORATORY
4430846,IMMUNOFIXATION SERUM,82784,$38.00 ,LABORATORY
4430413,IMMUNOFIXATION UR RANDOM OR 24HR,86335,$121.00 ,LABORATORY
4430785,INDIA INK PREP,87210,$88.00 ,LABORATORY
4401069,INFLUENZA A and B RAPID,87502,$403.00 ,LABORATORY
4431316,INHIBIN A,86336,$602.00 ,LABORATORY
4431317,INHIBIN B,83520,$240.00 ,LABORATORY
4430525,INSULIN ANTIBODIES,86337,$91.00 ,LABORATORY
4430506,INSULIN FAST & 2 HR,8352591,$97.00 ,LABORATORY
4430411,INSULIN FASTING,83525,$56.00 ,LABORATORY
4431087,INSULIN FREE & TOTAL,83527,$50.00 ,LABORATORY
4431400,INSULIN LIKE GROWTH FACTOR BP3,83520,$72.00 ,LABORATORY
44313400,INSULIN LIKE GROWTH FACTOR BP3,83520,$122.00 ,LABORATORY
4430517,INSULIN LIKE GROWTH FACTOR I,84305,$104.00 ,LABORATORY
4483520,INTERLEUKIN 6(IL6)SERUM,83520,$526.00 ,LABORATORY
4430683,INTRINSIC FACTOR BLOCK ABS,86340,$136.00 ,LABORATORY
4431028,IODINE PLASMA,83789,$92.00 ,LABORATORY
4431178,IONIZED CALCIUM-SEND OUT,82330,$58.00 ,LABORATORY
4450033,IRON SERUM,83540,$27.00 ,LABORATORY
4431409,ISOCYANATES PROFILE,86003,$55.00 ,LABORATORY
4431410,ISOCYANATES PROFILE,8600391,$55.00 ,LABORATORY
4430790,ITRACONAZOLE SERUM,80189,$658.00 ,LABORATORY
4431329,JAK 2 (V617F MUTATION),81270,$347.00 ,LABORATORY
4430842,JC VIRUS DNA PCR,87798,"$1,063.00 ",LABORATORY
4430912,JOHNSON GRASS ALLERGEN,8600391,$51.00 ,LABORATORY
4431238,KAOLIN CLOTTING TIME (KCT),85347,$452.00 ,LABORATORY
4430450,KEPPRA (LEVETIRACETAM) SERUM,80177,$118.00 ,LABORATORY
4430363,KETAMINE URINE,80307,$694.00 ,LABORATORY
4430860,KETOCONAZOLE SENSITIVITY,87186,$414.00 ,LABORATORY
4402080,"KETONE - BHB, Serum",82010,$34.00 ,LABORATORY
4400908,KOH PREP FOR TISSUE/NAILS,87220,$16.00 ,LABORATORY
4406463,KY BLUEGRASS RAST,8600391,$51.00 ,LABORATORY
4408980,LABCORP COLLECTION FEE,99001,$38.00 ,LABORATORY
4431062,LACOSAMIDE (VIMPAT),80235,$121.00 ,LABORATORY
4450047,LACTIC ACID,83605,$49.00 ,LABORATORY
4430420,LACTOFERRIN QUANT,83631,$196.00 ,LABORATORY
4430551,LACTOSE INTOL (PROMETHEUS),81400,$316.00 ,LABORATORY
4431800,LAMOTRIGINE (LAMICTAL),80175,$56.00 ,LABORATORY
4430431,LAP SCORE,85540,$96.00 ,LABORATORY
4430892,LATEX ALLERGEN IGE AB,86003,$26.00 ,LABORATORY
4406209,LD ISOENZYMES,83615,$26.00 ,LABORATORY
4450050,LDH,83615,$26.00 ,LABORATORY
4450051,LDL DIRECT,83721,$45.00 ,LABORATORY
4406381,LEAD ADULT,83655,$50.00 ,LABORATORY
4483655,LEAD BLD CAPILLARY PEDICATRIC,83655,$50.00 ,LABORATORY
4406380,LEAD PEDIATRIC,83655,$50.00 ,LABORATORY
4430944,LEFLUNOMIDE (ARAVA) SERUM,80193,$474.00 ,LABORATORY
4430238,LEFLUNOMIDE send out,80193,$259.00 ,LABORATORY
4407354,LEGIONELLA AB TOTAL,86713,$58.00 ,LABORATORY
4400957,LEGIONELLA ANTIGEN URINE,87899,$67.00 ,LABORATORY
4407453,LEGIONELLA CULTURE & DFA,8727891,$137.00 ,LABORATORY
4407461,LEGIONELLA DFA,87278,$97.00 ,LABORATORY
4431392,LEGIONELLA DFA,87278,$193.00 ,LABORATORY
4431236,"LEPTIN, SERUM",83520,$241.00 ,LABORATORY
4431103,LEPTOSPIRAL ABS IGM,86720,$533.00 ,LABORATORY
4431101,LEPTOSPIRAL CULTURE,87081,$309.00 ,LABORATORY
4431102,LEPTOSPIRAL CULTURE,87206,$63.00 ,LABORATORY
4406398,LH (LUTEINIZING HORMONE),83002,$91.00 ,LABORATORY
4431170,LIDOCAINE (XYLOCAINE) SERUM,80176,$139.00 ,LABORATORY
4450052,LIPASE,83690,$29.00 ,LABORATORY
4450004,LIPID PANEL,80061,$56.00 ,LABORATORY
4430334,LIPID PANEL February Special,80061,$15.00 ,LABORATORY
4430347,LIPID PANEL WELLNESS,80061,$25.00 ,LABORATORY
4413413,LIPID W/NON-HDL,80061,$56.00 ,LABORATORY
4406399,LIPOPROTEIN (a),83695,$70.00 ,LABORATORY
4430665,LIPOPROTEIN SUBFRACT PROF,83701,$109.00 ,LABORATORY
4450053,LITHIUM (Serum),80178,$28.00 ,LABORATORY
4431275,LIVER-KIDNEY MICROSOMAL (LKM) ABS,86376,$72.00 ,LABORATORY
4431301,LP-PLA2 (PLAC),83698,$655.00 ,LABORATORY
4430725,"LSD SCREEN, URINE",80307,$148.00 ,LABORATORY
4404459,LUPUS ANTICOAG SCREEN - send out,85732,$31.00 ,LABORATORY
4430376,LYME AB TOTAL,86618,$72.00 ,LABORATORY
4430588,LYME ABS REFLEX WESTERN BLOT,8661891,$72.00 ,LABORATORY
4430586,LYME DISEASE PCR,87476,"$1,128.00 ",LABORATORY
4430603,LYME DISEASE WESTERN BLOT SERUM,86617,$214.00 ,LABORATORY
4401508,LYMPHOCYTE ABSOLUTE COUNT,85048,$35.00 ,LABORATORY
4431220,LYMPHOCYTIC CHORIOMENINGITIS VIRUS AB,86727,$318.00 ,LABORATORY
4431221,LYMPHOCYTIC CHORIOMENINGITIS VIRUS AB,8672791,$161.00 ,LABORATORY
4431414,LYRICA SERUM (PREGABALIN),80366,$402.00 ,LABORATORY
4430511,LYSOZYME SERUM,85549,$127.00 ,LABORATORY
4450054,MAGNESIUM (Serum),83735,$28.00 ,LABORATORY
4400106,MALARIAL SMEARS,87207,$110.00 ,LABORATORY
4431009,MANGANESE WHOLE BLOOD,83785,$228.00 ,LABORATORY
4400006,MANUAL DIFF REQUEST by PHYSICIAN,85007,$16.00 ,LABORATORY
4440317,MAPLE BOX ELDER,8600391,$26.00 ,LABORATORY
4440292,MAPLE LEAF SYCAMORE,8600391,$26.00 ,LABORATORY
4401056,MC AEROBIC SENSITIVITY SENT,87186,$36.00 ,LABORATORY
4401773,MC ANAEROBE ID,87076,$33.00 ,LABORATORY
4401781,MC ANAEROBE ID2,8707691,$34.00 ,LABORATORY
4401799,MC ANAEROBE ID3,8707691,$34.00 ,LABORATORY
4431417,MC ANAEROBIC SENSITIVITY SENT,87186,$36.00 ,LABORATORY
4400536,MC BACT ID,87077,$33.00 ,LABORATORY
4400544,MC BACT ID2,8707791,$34.00 ,LABORATORY
4400551,MC BACT ID3,8707791,$34.00 ,LABORATORY
4401734,MC BACT ID4,8707791,$34.00 ,LABORATORY
4400353,MC BETA-LACTAMASE,87185,$20.00 ,LABORATORY
4487186,MC GPB AST,87186,$140.00 ,LABORATORY
4410560,MC GRAM POS ROD SENSITIVITY,87186,$36.00 ,LABORATORY
4400516,MC GRAM STAIN,87205,$30.00 ,LABORATORY
4487184,MC HAEMOPHILUS AST,87184,$97.00 ,LABORATORY
4401073,MC ID by GENE SEQUENCING,87153,$342.00 ,LABORATORY
4407413,MC MALDI ORGANISM ID,87118,$375.00 ,LABORATORY
4401203,MC MIC,87186,$36.00 ,LABORATORY
4401195,MC MIC2,8718691,$37.00 ,LABORATORY
4401187,MC MIC3,8718691,$37.00 ,LABORATORY
4401058,MC MIC4,8718691,$37.00 ,LABORATORY
4431129,MC ORGANISM ID AER + SEN (SENT),87077,$80.00 ,LABORATORY
4430822,MC ORGANISM ID ANAER BACT,87076,$188.00 ,LABORATORY
4407412,MC ORGANISM ID BACTERIA(SENT),87077,$182.00 ,LABORATORY
4430823,MC ORGANISM ID YEAST (SENT),87106,$250.00 ,LABORATORY
4400379,MC OXACILLIN SCREEN,87184,$54.00 ,LABORATORY
4401219,MC PBP2,86403,$49.00 ,LABORATORY
4401807,MC STREP ID,87147,$22.00 ,LABORATORY
4430438,"MEGALOBLASTIC ANEMIA PROFILE, SERUM",82136,$446.00 ,LABORATORY
4431237,MELANOCYTE STIMUL HORMONE,83519,$247.00 ,LABORATORY
4430997,MEPERIDINE METABS SERUM,80362,$372.00 ,LABORATORY
4430579,MEPERIDINE METABS URINE,80361,$362.00 ,LABORATORY
4430580,MEPERIDINE SERUM (DEMEROL),80362,$116.00 ,LABORATORY
4430721,MERCURY BLOOD,83825,$111.00 ,LABORATORY
4430654,METANEPHRINES PLASMA,83835,$81.00 ,LABORATORY
4430956,METFORMIN (GLUCOPHAGE) LEVEL,80375,$378.00 ,LABORATORY
4431253,METHADONE (DOLOPHINE) SERUM,80358,$122.00 ,LABORATORY
4431375,METHADONE SCREEN & CONFIRM URINE,80358,$216.00 ,LABORATORY
4430995,METHANOL,80320,$127.00 ,LABORATORY
4431303,METHOTREXATE (MTX) SERUM,80204,$119.00 ,LABORATORY
4406472,METHYLMALONIC ACID SERUM,83921,$88.00 ,LABORATORY
4401253,METHYLPHENIDATE SERUM (RITALIN),80360,$391.00 ,LABORATORY
4431439,METHYLPHENIDATE URINE (RITALIN),80360,$509.00 ,LABORATORY
4431114,MICROSPORIDIA DETECT STOOL,87015,$80.00 ,LABORATORY
4486008,MILK ALLERGEN,8600391,$51.00 ,LABORATORY
4406455,MINI RAST,86003,$51.00 ,LABORATORY
4401765,MISC PARASITE ID,87168,$66.00 ,LABORATORY
4430991,MIXING STUDY APTT,85732,$111.00 ,LABORATORY
4430992,MIXING STUDY PT,85611,$217.00 ,LABORATORY
4431461,MMR IMMUNITY PROFILE,86735,$54.00 ,LABORATORY
4430952,MODIFIED HODGE TEST,87185,$135.00 ,LABORATORY
4400609,MONO,86308,$22.00 ,LABORATORY
4440284,MOUSE URINE,8600391,$26.00 ,LABORATORY
4406467,MOUSE URINE IGE,8600391,$51.00 ,LABORATORY
4483521,MPO + PR3,83520,$193.00 ,LABORATORY
4483522,MPO + PR3 EXPLODE,8352091,$193.00 ,LABORATORY
4431889,MRSA PCR - COMPUNET,87641,$133.00 ,LABORATORY
4430824,MTHFR DNA ANALYSIS,81291,$523.00 ,LABORATORY
4430913,MUCOR RACEMOSUS ALLERGEN,8600391,$51.00 ,LABORATORY
4486015,MULTIPLE ALLERGEN SCREEN,86005,$47.00 ,LABORATORY
4431842,MUMPS ABS IGG,86735,$54.00 ,LABORATORY
4430645,MUMPS ABS IGM,86735,$96.00 ,LABORATORY
4430410,MUSHROOM ALLERGEN,86003,$61.00 ,LABORATORY
4431902,MYASTHENIA GRAVIS PANEL W/ REFLEX,83519,$289.00 ,LABORATORY
4401237,MYCOPLASMA ABS IGM RAPID,86738,$56.00 ,LABORATORY
4430697,MYCOPLASMA IGG & IGM QUANT,86738,$56.00 ,LABORATORY
4401658,MYOGLOBIN SERUM  (send out),83874,$50.00 ,LABORATORY
4440327,N TELOPEPTIDE EXP,82570,$22.00 ,LABORATORY
4440329,N TELOPEPTIDE URINE,82523,$90.00 ,LABORATORY
44313424,NICOTINE BLOOD QUANT,80323,$155.00 ,LABORATORY
4413424,NICOTINE BLOOD QUANT -1,80323,$155.00 ,LABORATORY
4430617,NICOTINE METABS URINE,80307,$257.00 ,LABORATORY
4413412,NICOTINE URINE QUANT,80323,$155.00 ,LABORATORY
44313412,NICOTINE URINE QUANT,80323,$155.00 ,LABORATORY
4431067,NKX 2-3 SNP,8147991,$92.00 ,LABORATORY
4430741,NMR LIPOPROFILE (LIPOSCIENCE),83704,$167.00 ,LABORATORY
4431012,NOROVIRUS (NORWALK VIRUS) PCR,87798,$144.00 ,LABORATORY
4431545,NORTRIPTYLINE (AVENTYL),80335,$187.00 ,LABORATORY
4430549,N-TELOPEPTIDE CROSSLINKS SERUM,82523,$546.00 ,LABORATORY
4430828,"NUCLEIC ACID PROBE, EACH",83896,$96.00 ,LABORATORY
4430829,"NUCLEIC ACID PROBE, EACH",8389691,$96.00 ,LABORATORY
4431098,NUCLEOTIDASE 5',83915,$159.00 ,LABORATORY
4430834,NUSWAB CANDIDA 6 PROFILE,87801,$295.00 ,LABORATORY
4401450,O and P AG SCREEN,87328,$58.00 ,LABORATORY
4401518,O AND P PVA/FORMALIN SENDOUT,87177,$42.00 ,LABORATORY
4430942,O&P PVA/FORMALIN SENDOUT,87209,$88.00 ,LABORATORY
4406464,OAK RAST,8600391,$51.00 ,LABORATORY
4440315,OAK WHITE ALLERGEN,8600391,$26.00 ,LABORATORY
4401287,OB DIPSTICK,81003,$9.00 ,LABORATORY
4404059,OBSTETRIC PANEL,80055,$722.00 ,LABORATORY
4400307,OCCULT BLOOD (MULTI CARD),82270,$17.00 ,LABORATORY
4400308,OCCULT BLOOD (SINGLE CARD),82272,$18.00 ,LABORATORY
4431287,OPIATES AND OXYCODONE URINE,80361,$350.00 ,LABORATORY
4430535,OPIATES BLOOD,8010191,$106.00 ,LABORATORY
4431339,OPIATES(4 DRUGS)CONFIRM URINE,80361,$167.00 ,LABORATORY
4440304,ORCHARD GRASS ALLRGN,8600391,$51.00 ,LABORATORY
4431263,ORGANIC ACID ANALYSIS URINE,83919,$390.00 ,LABORATORY
4401304,OSMOTIC FRAGILITY RBC,85557,$139.00 ,LABORATORY
4431338,OXYCODONE/OXYMORPHONE  URINE,80362,$306.00 ,LABORATORY
4500821,PA . Ad + L Cyto/Mol Report,8829159,$73.00 ,LABORATORY
4430034,PA 88104 CYTO BRONCHIAL BRUSHING,88104,$262.00 ,LABORATORY
4430148,PA 88173 CYTO FNA-LABCORP,88173,$494.00 ,LABORATORY
4500809,PA 88188 INTER 9-15 MARKERS,88188,$250.00 ,LABORATORY
4430113,PA 88271 CYTOGEN MOLECULAR (FISH-EACH),88271,$136.00 ,LABORATORY
4430151,PA 8827159 CYTOGEN FISH ADTL,8827159,$136.00 ,LABORATORY
4430155,PA 88342 SENT 1ST,88342,$352.00 ,LABORATORY
4430156,PA 8834259 SENT-ADTL,8834259,$352.00 ,LABORATORY
4500810,PA CY FLUID 88112,88112,$322.00 ,LABORATORY
4430075,PA CYTO ABDOMINAL FLUID,88108,$310.00 ,LABORATORY
4430083,PA CYTO BREAST DISCHARGE,88161,$262.00 ,LABORATORY
4430042,PA CYTO BRONCHIAL WASHING,88108,$316.00 ,LABORATORY
4430125,PA CYTO ENDOMETRIAL ASP.,88104,$262.00 ,LABORATORY
4430059,PA CYTO GASTRIC WASHING,88108,$362.00 ,LABORATORY
4430133,PA CYTO PLEURAL FLUID,88108,$310.00 ,LABORATORY
4430091,PA CYTO SPUTUM,88108,$310.00 ,LABORATORY
4501132,PA EGFR,8390959,$97.00 ,LABORATORY
4501134,PA EGFR,8390459,$97.00 ,LABORATORY
4501135,PA EGFR,8389859,$97.00 ,LABORATORY
4430143,PA IMPATH AB 1,88342,$352.00 ,LABORATORY
4430144,PA IMPATH AB 2,8834259,$352.00 ,LABORATORY
4430145,PA IMPATH AB 3,8834259,$352.00 ,LABORATORY
4430146,PA IMPATH AB>3,8834259,$352.00 ,LABORATORY
4430026,PA PAP 2 SLIDES,88164,$89.00 ,LABORATORY
4430158,PA PAP MONOLAYER,88142,$97.00 ,LABORATORY
4500820,PA. Ad + L Interphase hybrid,8827559,$281.00 ,LABORATORY
4501140,PA. ER/PR QNT IMMUNOSTAIN,8836059TC,$603.00 ,LABORATORY
4501113,PA. MICROSATELLITE INSTABILITY (MSI),8390091,$81.00 ,LABORATORY
4501114,PA. MICROSATELLITE INSTABILITY (MSI),83901,$81.00 ,LABORATORY
4501115,PA. MICROSATELLITE INSTABILITY (MSI),8390191,$81.00 ,LABORATORY
4501116,PA. MICROSATELLITE INSTABILITY (MSI),83890,$27.00 ,LABORATORY
4501117,PA. MICROSATELLITE INSTABILITY (MSI),8389091,$27.00 ,LABORATORY
4501118,PA. MICROSATELLITE INSTABILITY (MSI),83909,$45.00 ,LABORATORY
4501119,PA. MICROSATELLITE INSTABILITY (MSI),8390991,$45.00 ,LABORATORY
4501120,PA. MICROSATELLITE INSTABILITY (MSI),83912,$27.00 ,LABORATORY
4500806,PA.88184 FLOW MARKER 1ST,88184,"$1,354.00 ",LABORATORY
4500807,PA.88185 FLOW MARKER ADTL,88185,$98.00 ,LABORATORY
4500817,PA.ADTL MOL GEN DNA PROBE,8827159,$102.00 ,LABORATORY
4501146,PA.BRAF (V600) GENE MUTATION,81210,"$1,305.00 ",LABORATORY
4500312,PA.CY 88305 EXP,88305TC,$237.00 ,LABORATORY
4500811,PA.CY FLUID 88112,88112TC,$204.00 ,LABORATORY
4430150,PA.CY FNA 88112,88112,$494.00 ,LABORATORY
4530150,PA.CY FNA 88173TC,88173TC,$242.00 ,LABORATORY
4500819,PA.CYTO/MOLECULAR REPORT,88291,$160.00 ,LABORATORY
4500823,PA.CYTOGENETICS 25-99 CPT 88274,88274,$207.00 ,LABORATORY
4501137,PA.EGFR,81235,"$1,227.00 ",LABORATORY
4501139,PA.ER/PR QNT IMMUNOSTAIN,88360TC,$603.00 ,LABORATORY
4501141,PA.FISH HER2NEU/88360 88377,88377TC,$592.00 ,LABORATORY
4431166,PA.HPV PCR TYPING-TISSUE,87621,$516.00 ,LABORATORY
4531166,PA.HPV PCR TYPING-TISSUE,87621,$516.00 ,LABORATORY
4501144,PA.HPV STAINS ISH,88365TC,$700.00 ,LABORATORY
4501145,PA.HPV STAINS ISH,88364,$637.00 ,LABORATORY
4500818,PA.INTERPHASE INSITU HYDRIDIZATION,88275,$245.00 ,LABORATORY
4501143,PA.KRAS GENE MUTATION,81275,$731.00 ,LABORATORY
4501138,PA.MICROSAT INST SLIDE REVIEW,88381TC,$224.00 ,LABORATORY
4501112,PA.MICROSATELLITE INSTABILITY (MSI),,$783.00 ,LABORATORY
4500816,PA.MOL GENETICS DNA PROBE,88271,$102.00 ,LABORATORY
4501147,PA.SP 4 88305 ADTL PROSTATE 2-9 SPECIMEN,8830559TC,$544.00 ,LABORATORY
4501148,PA.SP 4 88305 PROSTATE SPECIMENS,88305TC,$237.00 ,LABORATORY
4413410,PAIN MGMT 10 DRUG,80307,$257.00 ,LABORATORY
44313411,PAIN MGMT EXPLODE,80101X91,$29.00 ,LABORATORY
4431132,PANCREATIC ELASTASE FECAL,82656,$49.00 ,LABORATORY
4430437,PAP HPV CHARGE,87621,$232.00 ,LABORATORY
4530437,PAP HPV CHARGE,87624,$172.00 ,LABORATORY
4488175,PAP MONOLAYER,88142,$97.00 ,LABORATORY
4588175,PAP MONOLAYER -2,88142,$97.00 ,LABORATORY
4430018,PAP SLIDE,88164,$93.00 ,LABORATORY
4431389,PAPER WASP ALLERGEN,8600391,$26.00 ,LABORATORY
4431354,PARVOVIRUS B19 DNA PCR QUAL,87798,"$1,063.00 ",LABORATORY
4430435,"PARVOVIRUS B19, IGG, IGM",86747,$57.00 ,LABORATORY
4400222,PATERNITY COLLECTION FEE,,$18.00 ,LABORATORY
4430605,PAXIL (PAROXETINE) SERUM,80332,$282.00 ,LABORATORY
4430602,PAXIL (PAROXETINE) URINE,80332,$262.00 ,LABORATORY
4486009,PEANUT ALLERGEN,8600391,$51.00 ,LABORATORY
4440289,PECAN HICKORY,8600391,$26.00 ,LABORATORY
4440297,PENICILLIUM CHRYSOGEN,8600391,$26.00 ,LABORATORY
4430858,PHENCYCLIDINE (PCP) CONFIRM URINE,83992,$160.00 ,LABORATORY
4430536,PHENCYCLIDINE BLOOD,8010191,$106.00 ,LABORATORY
4401207,PHENOBARBITAL (COMPUNET),80184,$57.00 ,LABORATORY
4430794,PHENYLALANINE QUANT,84030,$497.00 ,LABORATORY
4450032,PHENYTOIN LEVEL  (Serum),80185,$56.00 ,LABORATORY
4450055,PHOSPHORUS,84100,$20.00 ,LABORATORY
4401104,PIN WORM EXAM,87172,$66.00 ,LABORATORY
4400708,PKU,84030,$147.00 ,LABORATORY
4431346,PLASMINOGEN ACTIVITY,85420,$59.00 ,LABORATORY
4430891,PLASMODIUM (MALARIA) DNA PCR,87798,$348.00 ,LABORATORY
4430453,PLATELET AB PROFILE SERUM,86022,$432.00 ,LABORATORY
4401006,PLATELET COUNT/PLT,85049,$19.00 ,LABORATORY
4430299,PLATELET FUNCTION SCREEN COMPUNET,85576,$93.00 ,LABORATORY
4430482,PMSCL (PM1) AB,86235,$282.00 ,LABORATORY
4486610,PNEUMO SEROTYRE,8660991,$48.00 ,LABORATORY
4486609,PNEUMOCOCCOAL IMMUNITY 14 SEROTYPES,86609,$48.00 ,LABORATORY
4430734,PNEUMOCYSTIS CARINII SMEAR,87281,$70.00 ,LABORATORY
4430731,PNEUMOCYSTIS CARINII STAIN,88312,$280.00 ,LABORATORY
4431143,PNH (PAROXYSMAL NOCT HEMOGLOBINURIA),88184,$181.00 ,LABORATORY
4402308,POC GLUCOSE,82947,$17.00 ,LABORATORY
4431433,"POLIO 1,2,3 AB (IMMUNITY)",8665891,$62.00 ,LABORATORY
