Description,CURRENT PRICE,,,
CARDIAC MRI FOR MORPH W/DYE,"$5,203.73",,,
CARDIAC MRI W/STRESS IMG,$644.28,,,
CARDIAC OUTPUT MEASUREMENT,$888.00,,,
CARDIAC REHAB,$394.78,,,
CARDIAC REHAB/MONITOR,$368.92,,,
CARDIAC SHUNT DETECT,$969.12,,,
CARDIOLIPIN AB EA IG CLASS,$141.01,,,
CARDIOMEMS PA SENS AND DEV SYS,"$94,816.51",,,
CARDIOPLEGIC SOLN 50 ML,$13.70,,,
CARDIOVERSION ELECTIVE; INT,"$2,394.47",,,
CARDIOVERSION ELECTRIC EXT,"$2,081.74",,,
CARISOPRODOL 350 MG TAB,$3.80,,,
CARNITINE QUAN EA,$146.75,,,
CAROTENE,$270.18,,,
CAROTID DUPLEX SCAN UNIL/LIMIT,"$1,693.40",,,
CAROTID DUPLEX SCAN; BILAT,"$3,117.72",,,
CARPAL TUNNEL TX INJ BIL,"$1,017.99",,,
CARPAL TUNNEL TX INJ LT,$678.66,,,
CARPAL TUNNEL TX INJ RT,$678.66,,,
CARVEDILOL 12.5 MG TAB,$29.64,,,
CARVEDILOL 25 MG TAB,$12.84,,,
CARVEDILOL 6.25 MG TAB,$0.48,,,
CATECHOLAMINES FRACTIONATED,$137.48,,,
CATECHOLAMINES; TOTAL URINE,$81.90,,,
CATH - CORON IV BRACHYTX,"$3,951.00",,,
CATH .014INX140CM OTW TWINPASS,$261.86,,,
CATH 0.038 RESOLVE 8-14FR,$261.86,,,
CATH 10FR DRAINAGE PIGLET,$105.15,,,
CATH 11MMX10CMX120CM VASC,"$5,471.44",,,
CATH 12FRX25CM NPHRST FLEIMA,$105.15,,,
CATH 13X10CM VIA VASC 120CM,$261.86,,,
CATH 145X110CM INFNTI 5FR,$261.86,,,
CATH 15CM NIAGARA PRE CURVED,$250.88,,,
CATH 16CM IJ DIALYSIS,$232.00,,,
CATH 18MM STC RENEGADE,$786.72,,,
CATH 2.8FRX110CM ANGDYN,$261.86,,,
CATH 3  CON ASP THROM,$261.86,,,
CATH 4F GLIDE C1 65CM,$261.86,,,
CATH 4FR 100CM ARI DIAG MERIT,$261.86,,,
CATH 4FR JL 3.5X100CM MERIT,$261.86,,,
CATH 4FR JL4 MERIT,"$1,656.25",,,
CATH 4FRX.035INX150CM STRT,$261.86,,,
CATH 4MM BIDIRECT D-F NAVISTAR,"$7,500.00",,,
CATH 5  CON ASK THROM,$261.86,,,
"CATH 5FR 3PK (JL4,JR4,PIGTAIL)",$261.86,,,
CATH 5FR 65cm Contra 2,$216.76,,,
CATH 5FR AR2 100CM,$261.86,,,
CATH 5FR BRAIDED MARINER 65CM,$261.86,,,
CATH 5FR DUAL LUM PARAPICK,$552.80,,,
CATH 5FR JACKY RADIAL DIAG,$261.86,,,
CATH 5FR JL 3.5X100CM MERIT,$261.86,,,
CATH 5FR JL 4.5 IMP BS,$261.86,,,
CATH 5FR JL 5.0X100CM MERIT,$261.86,,,
CATH 5FR JL 6 IMP BS,$261.86,,,
CATH 5FR JL6  ANGIOGRAPHIC,$261.86,,,
CATH 5FR JR 3.5X100CM MERIT,$261.86,,,
CATH 5FR JR 4.0X100CM MERIT,$261.86,,,
CATH 5FR JR 5X100CM MERIT,$261.86,,,
CATH 5FR MULTIPURP W SIDE HLS,$33.00,,,
CATH 5FR PIGTAIL ANGLD  ANGIO,$261.86,,,
CATH 5FR UTERINE,$105.15,,,
CATH 5FR X 65CM .035IN,$261.86,,,
CATH 5FR X 80CM .035IN,$261.86,,,
CATH 5FRX.035INX70CM PIG,$131.00,,,
CATH 5FRX100CM AL2 MERIT,$261.86,,,
CATH 5FRX100CM AL3 MERIT,$261.86,,,
CATH 5FRX100CM INFN DIAG JL3.5,$261.86,,,
CATH 5FRX100CM INFNTI DIAG JL4,$261.86,,,
CATH 5FRX100CM INFNTI DIAG JR4,$261.86,,,
CATH 5FRX100MM JL4 WIREBRAID,$261.86,,,
CATH 5FRX110CM INFNTI,$261.86,,,
CATH 5X50X135 CRAGG-MCNAMARA,$552.80,,,
CATH 6 FR MULTIPURP W SIDE HLS,$33.00,,,
CATH 6.0FR DUAL LUMEN POWER LI,$425.25,,,
CATH 6.8FR HSG SHOLKOFF,$113.64,,,
CATH 6FR 3 LUMN POWER LINE,$388.66,,,
"CATH 6FR 3PK(JL,JR,PIGTL)MERIT",$261.86,,,
CATH 6FR DRN TRAY SAFE-T-CNTS,$105.15,,,
CATH 6FR TIG 4.0 110CM,$97.00,,,
CATH 6FX110 SWN GNZ 4LUM 018IN,$552.80,,,
CATH 7F DUO 2/8 2M 95 S LGCRL,"$2,103.75",,,
CATH 7FR GONADAL CURVE,$261.86,,,
CATH 7FR SWAN GANZ,$63.00,,,
CATH 8FR PIGLET,$300.00,,,
CATH 9.5FR DUAL LUMEN HICKMAN,$552.80,,,
CATH ABL FLEXABILITY SE D,"$7,500.00",,,
CATH ABL FLEXABILITY SE D-F,"$7,500.00",,,
CATH ABL FLEXABILITY SE F-J,"$7,500.00",,,
CATH ABL INT-TIP MIFI 8MM LG,"$7,500.00",,,
CATH ABL INT-TIP MIFI 8MM STD,"$7,500.00",,,
CATH ABL SAF BI-D 4MM LG CURL,"$4,250.00",,,
CATH ABL SAF BI-D 4MM MED CURL,"$4,250.00",,,
CATH ABLAT 65 MM IRR TACTICATH,$101.25,,,
CATH ABLAT 75 MM IRR TACTICATH,$101.25,,,
CATH ABLATION 8MM ORANGE,"$4,250.00",,,
CATH ADMIRAL PTA BAL 10X40X80,$620.62,,,
CATH AMPH 2.0-2.5X210MM 120CM,$620.62,,,
CATH AMPH 2.5-3.0X210MM 120CM,$620.62,,,
CATH AMPH 3.0-3.5X210MM 120CM,$620.62,,,
CATH AMPH 3.5-4.0X210MM 120CM,$620.62,,,
CATH ANG 6FRX110CM PIGTAIL,$261.86,,,
CATH ANGI ANG HS 1 DRV 5FR 100,$261.86,,,
CATH ANGIO .035IN VERT CRV 5FR,$261.86,,,
CATH ANGIO 2.0X10MM PTCA 139CM,$620.62,,,
CATH ANGIO BNTSN 2 CRV 5FR 100,$261.86,,,
CATH ANGIO DYN SOS OMNI 0 5FR,$620.62,,,
CATH ANGIO DYNS OMNI FL 5FR 65,$261.86,,,
CATH ANGIO OMNI FLUSH 5FR 65CM,$620.62,,,
CATH ANGIO PIG 5FRX65CM TEMPO,$261.86,,,
CATH ANGIO PTA 2.0X10MMX137CM,$625.00,,,
CATH ANGIO PTA 2.0X15MMX137CM,$625.00,,,
CATH ANGIO PTA 2.5X10MMX137CM,$625.00,,,
CATH ANGIO PTA 2.5X15MMX137CM,$625.00,,,
CATH ANGIO PTA 2.5X20MMX137CM,$625.00,,,
CATH ANGIO PTA 3.0X10MMX137CM,$625.00,,,
CATH ANGIO PTA 3.0X15MMX137CM,$625.00,,,
CATH ANGIO PTA 3.0X20MMX137CM,$625.00,,,
CATH ANGIO PTA 3.5X10MMX137CM,$625.00,,,
CATH ANGIO PTA 3.5X20MMX137CM,$625.00,,,
CATH ANGIO PTA 4.0X20MM 137CM,$625.00,,,
CATH ANGIO PTA 4.0X40MMX137CM,$625.00,,,
CATH ANGIO PTA 5X20MMX137CM,$625.00,,,
CATH ANGIO PTA 5X40MMX137CM,$625.00,,,
CATH ANGIO PTA 6FR 3.5MMX137CM,$625.00,,,
CATH ANGIO PTA 6X20MMX137CM,$625.00,,,
CATH ANGIO SOFT-VU 5FR 90CM,$620.62,,,
CATH ANGIO STRG CRV 4FR 65CM,$261.86,,,
CATH ANGIOGRAPIC 451543VO,$261.86,,,
CATH ANGIOSCULPT OTW PTA,$625.00,,,
CATH ANGL 6F 130CM USH130AT,$620.62,,,
CATH ANGL USHER 6FR 130CM,"$43,875.00",,,
CATH ANGSC OTW 6X40MMX137CM,$620.62,,,
CATH ANGSC OTW US PTA 3.5X20MM,$620.62,,,
CATH ANJIOJET XMI 4.0FRX135CM,$786.72,,,
CATH AR MOD 5FRX100CM PERFORMA,$261.86,,,
CATH ARTHR 6FR STD HAWKONE,"$7,897.00",,,
CATH ATHER DBP 1.5 SOLID,"$3,150.00",,,
CATH ATHER PERIPH 6FRX133CM SS,"$43,875.00",,,
CATH ATHER PERIPH 6FRX145CM SS,"$43,875.00",,,
CATH ATHER PERIPH 8FRX110CM LS,"$43,875.00",,,
CATH ATHER SM VESSEL 6FRX135CM,"$43,875.00",,,
CATH ATHER STEALTH SC 1.25MM,"$3,150.00",,,
CATH ATHER STEALTH SC 1.50MM,"$3,150.00",,,
CATH ATHER STEALTH SC 2.00MM,"$3,150.00",,,
CATH ATHER STLTH SCM 1.25MM,"$3,150.00",,,
CATH ATHR PERIP 8FRX110CM EV3,"$43,875.00",,,
CATH ATHR PERIP 8FRX110CM LS-C,"$43,875.00",,,
CATH ATHR PERIP 8FRX110CM LS-M,"$43,875.00",,,
CATH ATHRCM 150CM .9MM .03,"$10,800.00",,,
CATH BAL 2X20PTA .018 130CM,$620.62,,,
CATH BAL 3X20PTA .018 130CM,$620.62,,,
CATH BAL 3X40PTA .018 130CM,$620.62,,,
CATH BAL 4X20PTA .018 130CM,$620.62,,,
CATH BAL 6X120PTA .018 130CM,$620.62,,,
CATH BAL 8X40MMX80CM PTA OTW,$620.62,,,
CATH BAL AMPH 1.5X20MM 120CM,$620.62,,,
CATH BAL AMPH 1.5X20MM 150CM,$620.62,,,
CATH BAL AMPH 2.0X120MM 120CM,$620.62,,,
CATH BAL AMPH 2.0X120MM 150CM,$620.62,,,
CATH BAL AMPH 2.0X40MM 120CM,$620.62,,,
CATH BAL AMPH 2.5X150MM 120CM,$620.62,,,
CATH BAL AMPH 2.5X40MM 120CM,$620.62,,,
CATH BAL AMPH 2.5X40MM 150CM,$620.62,,,
CATH BAL AMPH 3.0X120MM 120CM,$620.62,,,
CATH BAL AMPH 3.0X150MM 120CM,$620.62,,,
CATH BAL AMPH 3.0X40MM 120CM,$620.62,,,
CATH BAL AMPH 3.0X40MM 150CM,$620.62,,,
CATH BAL AMPH 3.0X80MM 120CM,$620.62,,,
CATH BAL AMPH 3.5X120MM 120CM,$620.62,,,
CATH BAL AMPH 3.5X150MM 120CM,$620.62,,,
CATH BAL AMPH 3.5X40MM 120CM,$620.62,,,
CATH BAL AMPH 3.5X40MM 150CM,$620.62,,,
CATH BAL AMPH 3.5X80MM 120CM,$620.62,,,
CATH BAL AMPH 4.0X120MM 120CM,$620.62,,,
CATH BAL AMPH 4.0X150MM 120CM,$620.62,,,
CATH BAL AMPH 4.0X40MM 120CM,$620.62,,,
CATH BAL AMPH 4.0X40MM 150CM,$620.62,,,
CATH BAL AMPH 4.0X80MM 120CM,$620.62,,,
CATH BAL CQ 5.5FR 8MMX4CMX75CM,$620.62,,,
CATH BAL DORADO 10MMX4X80CM,$620.62,,,
CATH BAL DORADO 5MMX10X135CM,$620.62,,,
CATH BAL DORADO 5MMX20X135CM,$620.62,,,
CATH BAL DORADO 6MMX10X135CM,$620.62,,,
CATH BAL DORADO 6MMX20X135CM,$620.62,,,
CATH BAL DORADO 8MMX10X135CM,$620.62,,,
CATH BAL DORADO 8MMX6X135CM,$620.62,,,
CATH BAL GRAFT Q50-65,"$1,740.00",,,
CATH BAL PTA 7MMX10CMX135CM,$620.62,,,
CATH BAL PTA 7MMX15CMX135CM,$620.62,,,
CATH BAL PTA 7MMX17CMX135CM,$620.62,,,
CATH BAL REEF 4.0X20MM 120CM,$620.62,,,
CATH BAL REEF 4.0X20MM 80CM,$620.62,,,
CATH BAL REEF 4.0X30MM 120CM,$620.62,,,
CATH BAL REEF 4.0X30MM 80CM,$620.62,,,
CATH BAL REEF 4.0X40MM 80CM,$620.62,,,
CATH BAL REEF 4.0X40MM 81CM,$620.62,,,
CATH BAL REEF 4.0X60MM 80CM,$620.62,,,
CATH BAL REEF 4.0X60MM 81CM,$620.62,,,
CATH BAL REEF 4.0X80MM 120CM,$620.62,,,
CATH BAL REEF 4.0X80MM 80CM,$620.62,,,
CATH BAL REEF 5.0X20MM 120CM,$620.62,,,
CATH BAL REEF 5.0X20MM 80CM,$620.62,,,
CATH BAL REEF 5.0X30MM 120CM,$620.62,,,
CATH BAL REEF 5.0X30MM 80CM,$620.62,,,
CATH BAL REEF 5.0X40MM 120CM,$620.62,,,
CATH BAL REEF 5.0X40MM 80CM,$620.62,,,
CATH BAL REEF 5.0X60MM 120CM,$620.62,,,
CATH BAL REEF 5.0X60MM 80CM,$620.62,,,
CATH BAL REEF 5.0X80MM 120CM,$620.62,,,
CATH BAL REEF 5.0X80MM 80CM,$620.62,,,
CATH BAL REEF 6.0X20MM 120CM,$620.62,,,
CATH BAL REEF 6.0X20MM 80CM,$620.62,,,
CATH BAL REEF 6.0X30MM 120CM,$620.62,,,
CATH BAL REEF 6.0X30MM 80CM,$620.62,,,
CATH BAL REEF 6.0X40MM 120CM,$620.62,,,
CATH BAL REEF 6.0X40MM 80CM,$620.62,,,
CATH BAL REEF 6.0X60MM 120CM,$620.62,,,
CATH BAL REEF 6.0X60MM 80CM,$620.62,,,
CATH BAL REEF 6.0X80MM 120CM,$620.62,,,
CATH BAL REEF 6.0X80MM 80CM,$620.62,,,
CATH BAL REEF 7.0X20MM 120CM,$620.62,,,
CATH BAL REEF 7.0X20MM 80CM,$620.62,,,
CATH BAL REEF 7.0X30MM 120CM,$620.62,,,
CATH BAL REEF 7.0X30MM 80CM,$620.62,,,
CATH BAL REEF 7.0X40MM 120CM,$620.62,,,
CATH BAL REEF 7.0X40MM 80CM,$620.62,,,
CATH BAL REEF 7.0X60MM 120CM,$620.62,,,
CATH BAL REEF 7.0X60MM 80CM,$620.62,,,
CATH BAL REEF 7.0X80MM 120CM,$620.62,,,
CATH BAL REEF 7.0X80MM 80CM,$620.62,,,
CATH BAL REEF 8.0X20MM 120CM,$620.62,,,
CATH BAL REEF 8.0X20MM 80CM,$620.62,,,
CATH BAL REEF 8.0X230MM 80CM,$620.62,,,
CATH BAL REEF 8.0X30MM 120CM,$620.62,,,
CATH BAL REEF 8.0X40MM 120CM,$620.62,,,
CATH BAL REEF 8.0X40MM 80CM,$620.62,,,
CATH BAL REEF 8.0X60MM 120CM,$620.62,,,
CATH BAL REEF 8.0X60MM 80CM,$620.62,,,
CATH BAL REEF 8.0X80MM 120CM,$620.62,,,
CATH BAL REEF 8.0X80MM 80CM,$620.62,,,
CATH BAL REEF PTA 5X20 80CM,$620.62,,,
CATH BAL VIATRAC 6X15MMX135CM,$620.62,,,
CATH BAL VIATRAC 7X15MMX135CM,$620.62,,,
CATH BALLN 5.8FR 10MM 75CM PER,$620.62,,,
CATH BALLN DIL 10FR 46MM 140CM,$876.56,,,
CATH BALLN DIL 6FR 5MM 4FR 80,$620.62,,,
CATH BALLN DIL 9FR 32MM 120CM,"$1,720.00",,,
CATH BALLN DIL RECT HLX 3 40,$620.62,,,
CATH BALLN DIL RECT HLX 4 20,$620.62,,,
CATH BALLN DIL ULT LOP 15 OTWL,$380.00,,,
CATH BALLOON 2X20PTA .018 130C,$620.62,,,
CATH BALLOON 5X250X130 PTA,$620.62,,,
CATH BALLOON 6X200X130 PTA,$620.62,,,
CATH BALLOON 6X300X130 PTA,$620.62,,,
CATH BALLOON 6X4X75CM,$876.56,,,
CATH BALN ADMRL PTA 6X40X80,$620.62,,,
CATH BALN DORADO 7MMX20X135CM,$620.62,,,
CATH BALN TIP BIPLR 5F 110CM,"$2,060.00",,,
CATH BALNCX1-2.6-18-150-P-NS-0,$261.86,,,
CATH BARD 6F DUAL LUMEN W CUFF,$552.80,,,
CATH BARD CROSSER WIRE 106CM,"$43,875.00",,,
CATH BCNHNR5 5FR 0.035IN 100CM,$261.86,,,
CATH BERINSTEN 5FR 40CM,$261.86,,,
CATH BERN IMAGER 5FR 100CM,$50.00,,,
CATH BIL DRAIN 12FR 35CM 27-15,$105.15,,,
CATH BIPLR F/ SVC INS PCING,$620.62,,,
CATH BLN CXI-2.6-18-150-PNSANG,$261.86,,,
CATH BLN PROFILER 7MMX2CMX75CM,$620.62,,,
"CATH BRACHYTX SEED ADMIN, EA",$652.00,,,
CATH BRD MARINER SOS 5FRX80CM,$261.86,,,
CATH BW CELC THERMOCOOL ORG F,"$4,250.00",,,
CATH BW NAVISTAR 4MM BLU D CRV,"$4,250.00",,,
CATH BW NAVISTAR 4MM ORG F CRV,"$4,250.00",,,
CATH CARDIO 5FRX100CM AR1,$261.86,,,
CATH CLOSURE FAST 7FRX100CM,"$4,250.00",,,
CATH CNTRL WIRE 6F 140CM OTW,$154.64,,,
CATH COBRA 1 4FRX65CM,$261.86,,,
CATH COBRA 2 4FR X 65CM,$261.86,,,
CATH COBRA 2 5FR .038INX65CM,$261.86,,,
CATH COBRA 5FR C2,$261.86,,,
CATH CODA 10FR .035INX120CM,$620.62,,,
CATH COOK SLIP VERT 5FR 125CM,$620.62,,,
CATH COOK VTK 5FR 125CM,$620.62,,,
CATH CORDIS 6FR XBLAD 3.5,$261.86,,,
CATH CORDIS 6FRX100CM AR1,$261.86,,,
CATH CORDIS 6FRX100CM ARSH1,$261.86,,,
CATH CORDIS 6FRX100CM ARSH2,$261.86,,,
CATH CORDIS 6FRX100CM JL 4.0,$261.86,,,
CATH CORDIS 6FRX100CM JRSH4,$261.86,,,
CATH CORONARY 6FR AL 2 7507-23,$261.86,,,
CATH CORONARY 6FR JL5.0 MERIT,$261.86,,,
CATH CORONARY 6FR JR 5.0,$261.86,,,
CATH CORONARY 6FR JR3.5 MERIT,$261.86,,,
CATH CORONARY 6FR JR4.0 MERIT,$261.86,,,
CATH CORONARY 9FRX23CM AR 2,$261.86,,,
CATH CROS TRAILBLZR .035X135,$620.62,,,
CATH CSI PR 1.25MM SOLID CROWN,"$3,150.00",,,
CATH CSI PR 1.50MM SOLID CROWN,"$3,150.00",,,
CATH CSI PR 1.75MM SOLID CROWN,"$3,150.00",,,
CATH CSI PR 2.25MM SOLID CROWN,"$3,150.00",,,
CATH CTO CROSER 146CM 14PA OTW,$876.56,,,
CATH CTO CROSSER 14PA RX,$876.56,,,
CATH CTO CROSSER 14SA RX,$876.56,,,
CATH CTO CROSSER 154CM S6A,"$43,875.00",,,
CATH CUT BAL 7FR 6MMX2X50CM,$620.62,,,
CATH CUT BAL 8MMX20X90CM,$620.62,,,
CATH CUT BAL 8MMX2X50CM,$620.62,,,
CATH CUT BLN PERI 6MM X 50CM,$620.62,,,
CATH CUTG BAL OTW 7MMX2X90CM,$620.62,,,
CATH CV MULTI LUMEN LRG BORE,$388.66,,,
CATH CXI SUPPORT,$261.86,,,
CATH DAWSON MILLER 14FR 25CM,$105.15,,,
CATH DBP 2.0 SOLID ATHER,"$9,454.00",,,
CATH DEL LT VENTR LEAD 6250-MP,$261.86,,,
CATH DIA BEACON TIP 4.1FX100CM,$24.00,,,
CATH DIAG 0-RT 3FRX120CM,$552.80,,,
CATH DIAG 6FR AL1 533645,$261.86,,,
CATH DIAG IMPRESS 4F STS 65CM,$229.67,,,
CATH DIAG IMPRESS 5F STS 100CM,$229.67,,,
CATH DIAG INFIN 5F 100CM JL4.5,$261.86,,,
CATH DIAG INFIN 5F 110CM PIG14,$261.86,,,
CATH DIAG KMP 4FRX100CM,$261.86,,,
CATH DIAG KMP 4FRX65CM,$261.86,,,
CATH DIAG KUMPE 5FRX65CM,$261.86,,,
CATH DIAG OMNIFLUSH 5FRX65CM,$261.86,,,
CATH DIAG PIGTAIL 4FRX65CM,$261.86,,,
CATH DIAG SOS OMNI 4FRX80CM,$261.86,,,
CATH DIAG ST 6FRX100CM JL4.5,$261.86,,,
CATH DIAL PALINDROME 19CM,$500.00,,,
CATH DIAL PALINDROME 28CM,$500.00,,,
CATH DIAL PALINDROME 28X45,$500.00,,,
CATH DIALYSIS 14.5F 19CM GLIDE,$487.50,,,
CATH DIALYSIS 14.5F 23CM GLIDE,$487.50,,,
CATH DIALYSIS 14.5F 27CM GLIDE,$500.00,,,
CATH DIALYSIS 14.5F 31CM GLIDE,$487.50,,,
CATH DIALYSIS 14.5F 35CM GLIDE,$487.50,,,
CATH DIALYSIS CVD 12 X 16 SAF,$486.96,,,
CATH DIALYSIS CVD 12 X 24 SAF,"$1,081.72",,,
CATH DIALYSIS DUAL 19.5CM,$260.00,,,
CATH DIAMOND BCK 1.25MM MICRO,"$3,150.00",,,
CATH DIL .014IN 2.5X100X140CM,$620.62,,,
CATH DIL .014IN 2.5X120X140CM,$620.62,,,
CATH DIL .014IN 2.5X150X140CM,$620.62,,,
CATH DIL .014IN 2.5X200X140CM,$620.62,,,
CATH DIL .014IN 2.5X20X140CM,$620.62,,,
CATH DIL .014IN 2.5X250X140CM,$620.62,,,
CATH DIL .014IN 2.5X40X140CM,$620.62,,,
CATH DIL .014IN 2.5X60X140CM,$620.62,,,
CATH DIL .014IN 2.5X80X140CM,$620.62,,,
CATH DIL .014IN 2X100X140CM,$620.62,,,
CATH DIL .014IN 2X120X140CM,$620.62,,,
CATH DIL .014IN 2X150X140CM,$620.62,,,
CATH DIL .014IN 2X200X140CM,$620.62,,,
CATH DIL .014IN 2X20X140CM,$620.62,,,
CATH DIL .014IN 2X250X140CM,$620.62,,,
CATH DIL .014IN 2X40X140CM,$620.62,,,
CATH DIL .014IN 2X60X140CM,$620.62,,,
CATH DIL .014IN 2X80X140CM,$620.62,,,
CATH DIL .014IN 3.5X100X140CM,$620.62,,,
CATH DIL .014IN 3.5X120X140CM,$620.62,,,
CATH DIL .014IN 3.5X150X140CM,$620.62,,,
CATH DIL .014IN 3.5X200X140CM,$620.62,,,
CATH DIL .014IN 3.5X20X140CM,$620.62,,,
CATH DIL .014IN 3.5X250X140CM,$620.62,,,
CATH DIL .014IN 3.5X40X140CM,$620.62,,,
CATH DIL .014IN 3.5X60X140CM,$620.62,,,
CATH DIL .014IN 3.5X80X140CM,$620.62,,,
CATH DIL .014IN 3X100X140CM,$620.62,,,
CATH DIL .014IN 3X120X140CM,$620.62,,,
CATH DIL .014IN 3X150X140CM,$620.62,,,
CATH DIL .014IN 3X200X140CM,$620.62,,,
CATH DIL .014IN 3X20X140CM,$620.62,,,
CATH DIL .014IN 3X250X140CM,$620.62,,,
CATH DIL .014IN 3X40X140CM,$620.62,,,
CATH DIL .014IN 3X60X140CM,$620.62,,,
CATH DIL .014IN 3X80X140CM,$620.62,,,
CATH DIL .018IN 4X100X140CM,$620.62,,,
CATH DIL .018IN 4X120X140CM,$620.62,,,
CATH DIL .018IN 4X150X140CM,$620.62,,,
CATH DIL .018IN 4X200X140CM,$620.62,,,
CATH DIL .018IN 4X20X140CM,$620.62,,,
CATH DIL .018IN 4X300X140CM,$620.62,,,
CATH DIL .018IN 4X40X140CM,$620.62,,,
CATH DIL .018IN 4X60X140CM,$620.62,,,
CATH DIL .018IN 4X80X140CM,$620.62,,,
CATH DIL .018IN 5X100X140CM,$620.62,,,
CATH DIL .018IN 5X120X140CM,$620.62,,,
CATH DIL .018IN 5X150X140CM,$620.62,,,
CATH DIL .018IN 5X200X140CM,$620.62,,,
CATH DIL .018IN 5X20X140CM,$620.62,,,
CATH DIL .018IN 5X300X140CM,$620.62,,,
CATH DIL .018IN 5X40X140CM,$620.62,,,
CATH DIL .018IN 5X60X140CM,$620.62,,,
CATH DIL .018IN 5X80X140CM,$620.62,,,
CATH DIL .018IN 6X100X140CM,$620.62,,,
CATH DIL .018IN 6X120X140CM,$620.62,,,
CATH DIL .018IN 6X150X140CM,$620.62,,,
CATH DIL .018IN 6X200X140CM,$620.62,,,
CATH DIL .018IN 6X20X140CM,$620.62,,,
CATH DIL .018IN 6X300X140CM,$620.62,,,
CATH DIL .018IN 6X40X140CM,$620.62,,,
CATH DIL .018IN 6X60X140CM,$620.62,,,
CATH DIL .018IN 6X80X140CM,$620.62,,,
CATH DIL .018IN 7X100X140CM,$620.62,,,
CATH DIL .018IN 7X120X140CM,$620.62,,,
CATH DIL .018IN 7X20X140CM,$620.62,,,
CATH DIL .018IN 7X40X140CM,$620.62,,,
CATH DIL .018IN 7X60X140CM,$620.62,,,
CATH DIL .018IN 7X80X140CM,$620.62,,,
CATH DIL ATLAS 12MM 6X75CM,$620.62,,,
CATH DIL ATLAS 12MMX2X120CM,$620.62,,,
CATH DIL ATLAS 12MMX2X75CM,$620.62,,,
CATH DIL ATLAS 12MMX4X120CM,$620.62,,,
CATH DIL ATLAS 12MMX4X75CM,$620.62,,,
CATH DIL ATLAS 14MMX2X120CM,$620.62,,,
CATH DIL ATLAS 14MMX2X75CM,$620.62,,,
CATH DIL ATLAS 14MMX4X120CM,$620.62,,,
CATH DIL ATLAS 14MMX4X75CM,$620.62,,,
CATH DIL ATLAS 14MMX6X75CM,$620.62,,,
CATH DIL ATLAS 16MMX2X120CM,$620.62,,,
CATH DIL ATLAS 16MMX2X75CM,$620.62,,,
CATH DIL ATLAS 16MMX4X120CM,$620.62,,,
CATH DIL ATLAS 16MMX4X75CM,$620.62,,,
CATH DIL ATLAS 16MMX6X75CM,$620.62,,,
CATH DIL ATLAS 18MMX2X120CM,$620.62,,,
CATH DIL ATLAS 18MMX2X75CM,$620.62,,,
CATH DIL ATLAS 18MMX4X120CM,$620.62,,,
CATH DIL ATLAS 18MMX4X75CM,$620.62,,,
CATH DIL ATLAS 18MMX6X75CM,$620.62,,,
CATH DIL BAL CQ 10MMX4CMX75CM,$620.62,,,
CATH DIL BAL CQ 12MM X4CMX75CM,$620.62,,,
CATH DIL BAL CQ 6MMX4CMX75CM,$620.62,,,
CATH DIL BAL CQ 7MMX4CMX75CM,$620.62,,,
CATH DIL BAL CQ 8MMX4CMX50CM,$620.62,,,
CATH DIL JCDS 1618 EDS HC,$270.00,,,
CATH DIL NEPHROMAX 30FRX10CM,$625.00,,,
CATH DIL VOYAGER RX 2.5X08MM,$620.62,,,
CATH DIL VOYAGER RX 2.5X30MM,$620.62,,,
CATH DIL VOYAGER RX 3.25X30MM,$620.62,,,
CATH DIL.014IN 2.0X300MMX140CM,$620.62,,,
CATH DIL.014IN 2.5X300MMX140CM,$620.62,,,
CATH DIL.014IN 3.0X300MMX140CM,$620.62,,,
CATH DIL.014IN 3.5X300MMX140CM,$620.62,,,
CATH DIL.018IN 4.0X250MMX140CM,$620.62,,,
CATH DIL.018IN 5.0X250MMX140CM,$620.62,,,
CATH DIL.018IN 6.0X250MMX140CM,$620.62,,,
CATH DIL.018IN 7.0X150MMX140CM,$620.62,,,
CATH DIL.018IN 7.0X200MMX140CM,$620.62,,,
CATH DIL.018IN 7.0X250MMX140CM,$620.62,,,
CATH DIL.018IN 7.0X300MMX140CM,$620.62,,,
CATH DL LM 28CM PALINDROME,$500.00,,,
CATH DM 10.2FR D.038 IN L 25CM,$105.15,,,
CATH DM 12F,$261.86,,,
CATH DNVR DBL VNT VNUS 42-2020,$105.15,,,
CATH DRAIN 10FR 35CM FLEXIMA,$105.15,,,
CATH DRAIN 8FRX25CM 756508025,$105.15,,,
CATH DRAIN MULTIP 10.2FX45CM,$105.15,,,
CATH DRAIN MULTIP 8.5FX25CM,$418.00,,,
CATH DRAIN MULTIP 8.5FX38CM,$105.15,,,
CATH DRAIN MULTIP 8.5FX45CM,$105.15,,,
CATH DRAINAGE 12FR NAVARRE,$105.15,,,
CATH DRAINAGE 14FR MULTIPR,$105.15,,,
CATH DRAINAGE 8FRX35CM,$105.15,,,
CATH DRAINAGE MP 10.2FRX25CM,$105.15,,,
CATH DRAINAGE THORA III,$105.15,,,
CATH DRAINAGE UNIV 10FR,$105.15,,,
CATH DRN MULTIP 8.5FX25CM,$418.00,,,
CATH DRNGE 10.2FR 25CM MCLC 6,$250.96,,,
CATH DRNGE 10FR 25CM APD REG,$105.15,,,
CATH DRNGE 12FR 25CM APD REG,$311.64,,,
CATH DRNGE 25CM 14FR MCLC,$250.96,,,
